,name,catagory,symbol,linkQuate,BS_standalone_link,EQUITY SHARE CAPITAL,TOTAL SHARE CAPITAL,RESERVES AND SURPLUS,TOTAL RESERVES AND SURPLUS,TOTAL SHAREHOLDERS FUNDS,LONG TERM BORROWINGS,DEFERRED TAX LIABILITIES [NET],OTHER LONG TERM LIABILITIES,LONG TERM PROVISIONS,TOTAL NON-CURRENT LIABILITIES,SHORT TERM BORROWINGS,TRADE PAYABLES,OTHER CURRENT LIABILITIES,SHORT TERM PROVISIONS,TOTAL CURRENT LIABILITIES,TOTAL CAPITAL AND LIABILITIES,TANGIBLE ASSETS,INTANGIBLE ASSETS,CAPITAL WORK-IN-PROGRESS,OTHER ASSETS,FIXED ASSETS,NON-CURRENT INVESTMENTS,DEFERRED TAX ASSETS [NET],LONG TERM LOANS AND ADVANCES,OTHER NON-CURRENT ASSETS,TOTAL NON-CURRENT ASSETS,CURRENT INVESTMENTS,INVENTORIES,TRADE RECEIVABLES,CASH AND CASH EQUIVALENTS,SHORT TERM LOANS AND ADVANCES,OTHERCURRENTASSETS,TOTAL CURRENT ASSETS,TOTAL ASSETS,CONTINGENT LIABILITIES,RAW MATERIALS,"STORES, SPARES AND LOOSE TOOLS",TRADE/OTHER GOODS,CAPITAL GOODS,EXPENDITURE IN FOREIGN CURRENCY,DIVIDEND REMITTANCE IN FOREIGN CURRENCY,FOB VALUE OF GOODS,OTHER EARNINGS,BONUS EQUITY SHARE CAPITAL,NON-CURRENT INVESTMENTS QUOTED MARKET VALUE,NON-CURRENT INVESTMENTS UNQUOTED BOOK VALUE,CURRENT INVESTMENTS QUOTED MARKET VALUE,CURRENT INVESTMENTS UNQUOTED BOOK VALUE
37,Rane Holdings,autoancillaries,RANEHOLDINGS,RH01,http://www.moneycontrol.com/financials/raneholdings/balance-sheetVI/RH01#RH01,14.28,14.28,445.24,445.24,459.52,20.33,0.06,1.49,0.0,21.88,0.0,1.04,18.18,1.74,20.96,502.36,104.61,0.26,0.07,0.0,104.94,369.0,0.0,0.0,9.28,483.22,4.16,0.0,9.38,1.7,0.03,3.87,19.14,502.36,56.15,0.0,0.0,0.0,0.0,0.2,0.82,0.0,0.28,3.67,291.65,93.13,0.0,4.16
38,Rane Madras,autoancillaries,RANEMADRAS,RM08,http://www.moneycontrol.com/financials/ranemadras/balance-sheetVI/RM08#RM08,12.55,12.55,280.05,280.05,300.93,139.82,1.69,7.82,6.09,155.42,158.95,154.38,89.74,6.66,409.73,866.08,329.25,4.65,10.15,0.0,344.05,0.71,0.0,113.13,72.13,530.02,0.0,133.44,162.91,16.7,0.23,22.78,336.06,866.08,277.92,0.0,0.0,0.0,0.0,51.98,0.0,201.59,0.0,0.0,0.0,0.71,0.0,0.0
39,Remsons Ind,autoancillaries,REMSONSIND,RI10,http://www.moneycontrol.com/financials/remsonsindustries/balance-sheetVI/RI10#RI10,5.71,5.71,19.03,19.03,24.74,7.53,1.13,0.0,0.44,9.1,21.6,24.63,3.24,1.31,50.78,84.63,22.26,1.28,0.08,0.07,23.69,0.03,0.0,0.0,1.09,24.81,0.0,32.79,22.32,1.74,0.0,2.96,59.81,84.63,1.37,0.0,0.0,0.0,0.0,6.11,0.0,0.0,7.67,4.81,0.0,0.03,0.0,0.0
40,Rico Auto,autoancillaries,RICOAUTO,RA04,http://www.moneycontrol.com/financials/ricoauto/balance-sheetVI/RA04#RA04,13.53,13.53,571.99,571.99,585.52,207.37,9.98,5.55,12.88,235.78,153.81,209.11,117.72,0.0,480.64,1301.94,559.59,3.25,50.01,0.0,612.85,137.56,0.0,66.26,23.88,840.55,0.0,126.8,250.69,2.76,1.02,80.12,461.39,1301.94,51.39,0.0,0.0,0.0,0.0,43.38,0.0,0.0,297.57,5.36,0.0,137.56,0.0,0.0
41,Sandhar Technol,autoancillaries,SANDHARTECHNOL,STl06,http://www.moneycontrol.com/financials/sandhartechnologies/balance-sheetVI/STl06#STl06,60.19,60.19,697.36,697.36,757.55,0.24,11.19,8.64,0.0,20.07,38.67,188.3,31.19,6.33,264.5,1042.11,587.96,13.42,22.1,0.0,623.47,91.24,0.0,9.4,3.99,728.1,0.0,121.0,160.84,3.79,7.67,20.72,314.01,1042.11,107.92,77.58,0.0,0.0,17.18,6.36,0.0,7.6,0.0,40.92,0.0,91.24,0.0,0.0
42,Setco Auto,autoancillaries,SETCOAUTO,SA14,http://www.moneycontrol.com/financials/setcoautomotive/balance-sheetVI/SA14#SA14,26.75,26.75,204.79,204.79,231.54,74.05,0.0,15.55,3.1,92.7,167.59,140.76,57.51,4.28,370.14,694.38,164.73,0.0,0.0,0.0,164.73,168.79,15.57,88.35,5.81,443.25,0.0,117.31,82.74,4.13,23.98,22.97,251.13,694.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Shanthi Gears,autoancillaries,SHANTHIGEARS,SG04,http://www.moneycontrol.com/financials/shanthigears/balance-sheetVI/SG04#SG04,7.67,7.67,220.95,220.95,228.62,0.0,0.0,1.38,0.16,1.54,0.0,30.12,22.31,0.44,52.87,283.03,52.18,0.33,6.37,7.26,66.14,27.67,4.13,0.0,9.8,107.74,51.65,60.84,38.19,1.99,0.0,22.62,175.29,283.03,7.95,0.0,0.0,0.0,0.0,7.1,0.0,14.7,0.0,5.32,0.0,0.0,0.0,0.0
44,Sharda Motor,autoancillaries,SHARDAMOTOR,SMI04,http://www.moneycontrol.com/financials/shardamotorindustries/balance-sheetVI/SMI04#SMI04,5.95,5.95,361.28,361.28,367.23,0.0,0.22,10.43,4.44,15.09,0.0,206.52,29.57,6.44,242.54,624.85,185.54,0.68,0.87,0.0,187.09,25.52,0.0,0.0,15.13,227.74,16.76,106.93,117.05,146.31,0.0,10.06,397.11,624.85,53.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,0.0,16.76,25.52
45,Shivam Auto,autoancillaries,SHIVAMAUTO,SA13,http://www.moneycontrol.com/financials/shivamautotech/balance-sheetVI/SA13#SA13,20.0,20.0,115.17,115.17,135.17,212.6,0.0,0.25,6.62,219.48,179.01,101.79,87.92,0.16,368.88,723.52,437.79,10.35,27.54,0.0,476.41,0.0,33.35,6.78,8.93,525.47,0.0,85.99,71.44,7.36,0.37,32.9,198.06,723.52,25.17,5.28,0.0,0.0,31.47,0.75,0.0,8.95,0.0,10.0,0.0,0.0,0.0,0.0
46,Shriram Pistons,autoancillaries,SHRIRAMPISTONS,SPR02,http://www.moneycontrol.com/financials/shrirampistonsrings/balance-sheetVI/SPR02#SPR02,22.37,22.37,1048.13,1048.13,1070.5,42.3,20.16,23.69,31.67,117.82,44.92,230.92,86.21,7.89,369.94,1558.26,760.57,0.0,0.0,0.0,760.57,0.05,0.0,0.0,76.5,837.12,60.68,290.78,239.31,95.88,0.0,34.49,721.14,1558.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
