,name,catagory,symbol,linkQuate,BS_standalone_link,EQUITY SHARE CAPITAL,TOTAL SHARE CAPITAL,RESERVES AND SURPLUS,TOTAL RESERVES AND SURPLUS,TOTAL SHAREHOLDERS FUNDS,LONG TERM BORROWINGS,DEFERRED TAX LIABILITIES [NET],OTHER LONG TERM LIABILITIES,LONG TERM PROVISIONS,TOTAL NON-CURRENT LIABILITIES,SHORT TERM BORROWINGS,TRADE PAYABLES,OTHER CURRENT LIABILITIES,SHORT TERM PROVISIONS,TOTAL CURRENT LIABILITIES,TOTAL CAPITAL AND LIABILITIES,TANGIBLE ASSETS,INTANGIBLE ASSETS,CAPITAL WORK-IN-PROGRESS,OTHER ASSETS,FIXED ASSETS,NON-CURRENT INVESTMENTS,DEFERRED TAX ASSETS [NET],LONG TERM LOANS AND ADVANCES,OTHER NON-CURRENT ASSETS,TOTAL NON-CURRENT ASSETS,CURRENT INVESTMENTS,INVENTORIES,TRADE RECEIVABLES,CASH AND CASH EQUIVALENTS,SHORT TERM LOANS AND ADVANCES,OTHERCURRENTASSETS,TOTAL CURRENT ASSETS,TOTAL ASSETS,CONTINGENT LIABILITIES,RAW MATERIALS,"STORES, SPARES AND LOOSE TOOLS",TRADE/OTHER GOODS,CAPITAL GOODS,EXPENDITURE IN FOREIGN CURRENCY,DIVIDEND REMITTANCE IN FOREIGN CURRENCY,FOB VALUE OF GOODS,OTHER EARNINGS,BONUS EQUITY SHARE CAPITAL,NON-CURRENT INVESTMENTS QUOTED MARKET VALUE,NON-CURRENT INVESTMENTS UNQUOTED BOOK VALUE,CURRENT INVESTMENTS QUOTED MARKET VALUE,CURRENT INVESTMENTS UNQUOTED BOOK VALUE
0,Anjani Cement,cementmini,ANJANICEMENT,APC,http://www.moneycontrol.com/financials/anjaniportlandcement/balance-sheetVI/APC#APC,25.29,25.29,248.63,248.63,273.92,0.0,37.87,2.01,1.09,40.97,0.0,30.17,46.69,0.28,77.14,392.03,219.13,2.04,0.33,0.0,221.5,0.0,0.0,0.0,5.63,227.13,0.0,39.96,42.89,65.39,0.01,16.65,164.9,392.03,8.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Deccan Cements,cementmini,DECCANCEMENTS,DC,http://www.moneycontrol.com/financials/deccancements/balance-sheetVI/DC#DC,7.0,7.0,442.9,442.9,449.9,66.78,49.12,1.17,4.49,121.56,21.28,8.11,108.42,1.22,139.02,710.49,358.19,17.84,59.82,1.97,439.7,0.08,0.0,0.0,13.55,453.34,0.0,67.0,47.78,116.65,0.13,25.6,257.15,710.49,47.28,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,3.5,0.08,0.0,0.0,0.0
2,Kakatiya Cement,cementmini,KAKATIYACEMENT,KC01,http://www.moneycontrol.com/financials/kakatiyacements/balance-sheetVI/KC01#KC01,7.77,7.77,211.85,211.85,219.63,0.0,9.79,0.0,0.1,9.88,50.17,6.89,27.91,0.0,84.98,314.49,50.96,0.0,0.0,0.0,50.96,0.01,0.0,0.0,1.94,52.9,0.0,56.83,12.42,162.56,0.0,29.78,261.58,314.49,20.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.01,0.0,0.0,0.0
3,NCL Industries,cementmini,NCLINDUSTRIES,NCL,http://www.moneycontrol.com/financials/nclindustries/balance-sheetVI/NCL#NCL,45.23,45.23,483.21,483.21,528.44,165.36,72.67,13.97,6.76,258.77,121.52,66.11,176.35,1.99,365.96,1153.17,695.29,0.0,89.91,0.0,785.2,0.01,0.0,0.0,23.34,808.55,0.0,109.68,143.38,18.73,0.0,72.83,344.62,1153.17,96.15,11.15,0.0,0.0,2.28,0.82,0.0,0.0,0.54,0.0,0.0,0.01,0.0,0.0
4,Sagar Cement,cementmini,SAGARCEMENT,SC27,http://www.moneycontrol.com/financials/sagarcements/balance-sheetVI/SC27#SC27,22.28,22.28,987.87,987.87,1032.51,115.14,43.91,89.88,8.43,257.36,107.65,168.54,107.0,3.08,386.27,1676.14,834.05,0.13,19.83,0.0,854.01,477.26,0.0,0.0,25.48,1356.75,0.0,80.67,94.86,10.14,15.0,118.72,319.39,1676.14,689.31,0.0,0.0,0.0,0.0,75.82,0.0,0.0,0.0,0.0,0.0,477.26,0.0,0.0
0,Aarti Ind,chemicals,AARTIIND,AI45,http://www.moneycontrol.com/financials/aartiindustries/balance-sheetVI/AI45#AI45,87.12,87.12,2814.69,2814.69,2901.81,577.58,188.99,550.89,0.0,1317.46,1211.42,324.19,297.59,36.75,1869.95,6089.22,2301.13,0.5,1417.65,0.0,3719.28,37.16,0.0,0.0,391.95,4148.39,0.0,781.48,782.47,233.37,0.0,143.51,1940.83,6089.22,568.09,595.93,0.0,0.0,82.78,54.66,0.0,1716.87,0.0,72.09,0.0,37.16,0.0,0.0
1,Aarti Surfactan,chemicals,AARTISURFACTAN,ASL08,http://www.moneycontrol.com/financials/aartisurfactantslimited/balance-sheetVI/ASL08#ASL08,7.58,26.28,103.37,103.37,129.65,30.09,7.62,0.0,0.0,37.71,60.43,19.24,15.27,0.0,94.94,262.3,150.14,1.21,13.95,0.0,165.31,0.01,0.0,0.0,2.63,167.94,0.0,56.49,17.92,0.09,0.0,19.85,94.35,262.3,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Alkali Metals,chemicals,ALKALIMETALS,AM11,http://www.moneycontrol.com/financials/alkalimetals/balance-sheetVI/AM11#AM11,10.18,10.18,39.27,40.1,50.28,2.0,0.0,3.81,0.33,6.14,16.46,11.18,2.64,0.41,30.69,87.11,44.74,0.13,2.15,0.0,47.01,0.0,3.65,0.0,2.0,52.67,0.0,21.33,6.37,2.87,0.0,3.88,34.45,87.11,3.08,17.13,0.0,0.0,0.0,17.39,0.0,31.84,0.0,0.0,0.0,0.0,0.0,0.0
3,Alkyl Amines,chemicals,ALKYLAMINES,AAC,http://www.moneycontrol.com/financials/alkylamineschemicals/balance-sheetVI/AAC#AAC,10.21,10.21,524.51,524.51,536.6,47.93,40.36,1.9,2.78,92.98,0.04,70.77,77.37,5.63,153.81,783.38,421.91,1.57,44.88,0.0,468.36,0.0,0.0,0.42,20.46,489.24,0.0,83.67,164.22,32.26,0.23,13.76,294.15,783.38,50.41,48.66,0.0,0.0,0.19,6.39,0.0,161.5,0.0,3.65,0.0,0.0,0.0,0.0
4,Atul,chemicals,ATUL,A06,http://www.moneycontrol.com/financials/atul/balance-sheetVI/A06#A06,29.68,29.68,3040.7,3040.7,3070.38,0.0,84.44,2.72,19.43,106.59,0.0,478.46,156.91,36.87,672.24,3849.21,903.48,0.63,234.89,3.22,1142.22,702.01,0.0,17.5,63.54,1925.27,627.49,427.46,718.93,8.79,0.0,141.27,1923.94,3849.21,217.09,683.39,0.0,0.0,0.0,0.0,0.0,1794.4,2.15,1.96,466.76,218.37,0.0,627.49
5,Balaji Amines,chemicals,BALAJIAMINES,BA05,http://www.moneycontrol.com/financials/balajiamines/balance-sheetVI/BA05#BA05,6.48,6.48,661.16,661.16,667.64,0.0,49.99,163.95,0.0,213.94,102.36,56.19,43.47,20.64,222.66,1104.24,363.4,0.0,44.63,0.0,408.03,66.0,0.0,46.35,189.44,709.82,47.5,93.82,190.85,7.26,0.0,54.99,394.42,1104.24,2.0,0.0,0.0,0.0,0.0,134.7,0.0,0.0,181.95,3.24,0.0,66.0,0.0,47.5
6,BASF,chemicals,BASF,BAS,http://www.moneycontrol.com/financials/basfindia/balance-sheetVI/BAS#BAS,43.29,43.29,1339.52,1339.52,1386.02,147.11,0.0,128.64,58.44,334.19,334.98,2143.48,331.96,58.26,2868.68,4588.89,940.1,0.81,22.95,0.0,963.86,0.0,87.86,16.45,173.33,1241.5,0.0,1496.2,1366.86,80.93,4.07,399.33,3347.39,4588.89,474.16,0.0,0.0,0.0,0.0,201.67,0.0,0.0,363.61,15.77,0.0,0.0,0.0,0.0
7,Camlin Fine,chemicals,CAMLINFINE,CFC03,http://www.moneycontrol.com/financials/camlinfinesciences/balance-sheetVI/CFC03#CFC03,12.13,12.13,360.92,360.92,373.49,112.96,2.08,6.07,2.85,123.96,218.42,132.96,38.73,0.48,390.58,891.35,93.23,0.34,174.21,2.07,293.84,74.02,0.0,3.6,8.72,380.18,0.0,97.22,323.48,13.12,30.1,47.25,511.17,891.35,257.7,0.0,0.0,0.0,0.0,294.02,0.0,0.0,409.48,0.0,0.0,74.02,0.0,0.0
8,Chembond Chem,chemicals,CHEMBONDCHEM,CC03,http://www.moneycontrol.com/financials/chembondchemicals/balance-sheetVI/CC03#CC03,6.72,6.72,222.92,222.92,229.64,0.0,0.91,0.0,0.49,1.4,0.0,6.29,2.36,0.03,8.68,239.72,35.9,0.4,0.22,0.0,36.52,133.72,0.0,0.0,2.43,172.67,24.34,4.64,16.98,0.99,17.11,3.01,67.06,239.72,24.21,5.15,0.0,0.0,0.0,0.01,0.0,0.79,0.0,4.3,0.0,118.04,0.0,24.34
9,Chemfab Alkalis,chemicals,CHEMFABALKALIS,CA01,http://www.moneycontrol.com/financials/chemfabalkalis/balance-sheetVI/CA01#CA01,13.93,13.93,261.66,261.66,275.59,0.45,0.0,22.39,0.98,23.82,14.33,16.58,16.06,1.98,48.95,348.44,190.02,4.77,35.27,0.0,230.06,8.02,51.87,0.0,8.07,298.01,0.0,8.5,9.54,2.66,0.0,29.73,50.43,348.44,13.1,0.0,0.0,0.0,0.0,18.66,0.0,0.0,0.87,0.0,0.02,0.02,0.0,0.0
10,Deepak Nitrite,chemicals,DEEPAKNITRITE,DN,http://www.moneycontrol.com/financials/deepaknitrite/balance-sheetVI/DN#DN,27.28,27.28,1464.05,1464.05,1491.33,0.0,45.41,10.52,13.29,69.22,177.55,239.32,57.7,11.4,485.97,2046.52,716.84,3.29,89.88,0.0,810.01,562.86,0.0,1.06,13.0,1386.93,0.0,233.09,365.97,3.73,0.0,56.8,659.59,2046.52,59.02,0.0,0.0,0.0,0.0,222.31,0.0,0.0,935.83,12.43,0.0,562.86,0.0,0.0
11,Excel,chemicals,EXCEL,EI10,http://www.moneycontrol.com/financials/excelindustries/balance-sheetVI/EI10#EI10,6.29,6.29,594.86,594.86,601.15,0.02,49.37,24.14,0.0,73.53,21.26,104.9,21.85,0.0,148.02,822.7,332.02,42.97,9.34,1.42,385.96,147.26,0.0,5.34,16.21,554.77,8.37,77.72,149.73,18.31,1.23,12.56,267.93,822.7,12.81,0.0,0.0,0.0,0.0,151.6,0.0,192.64,0.0,4.78,0.0,124.73,0.0,8.37
12,Fineotex Chem,chemicals,FINEOTEXCHEM,FC02,http://www.moneycontrol.com/financials/fineotexchemical/balance-sheetVI/FC02#FC02,22.26,22.26,125.26,125.26,147.52,0.0,0.0,0.5,0.06,0.55,2.84,17.89,2.5,0.13,23.36,171.44,29.28,0.0,0.48,3.79,33.55,53.31,0.55,0.0,7.13,94.54,8.5,12.93,39.08,2.55,0.0,13.84,76.9,171.44,2.16,0.0,0.0,0.0,0.0,15.66,0.0,30.62,0.0,14.43,43.93,9.38,0.0,8.5
13,Foseco India,chemicals,FOSECOINDIA,FI12,http://www.moneycontrol.com/financials/fosecoindia/balance-sheetVI/FI12#FI12,6.39,6.39,165.0,165.0,171.39,0.0,0.0,0.29,0.52,0.81,0.0,64.19,10.15,2.12,76.46,248.66,34.32,0.0,1.62,0.0,35.94,0.0,1.86,0.81,3.9,42.51,0.0,19.4,72.85,111.85,0.16,1.89,206.15,248.66,2.29,0.0,0.0,0.0,0.0,52.59,0.0,0.0,26.45,5.3,0.0,0.0,0.0,0.0
14,GFL,chemicals,GFL,GF07,http://www.moneycontrol.com/financials/gfl/balance-sheetVI/GF07#GF07,10.99,10.99,1181.14,1181.14,1192.12,0.0,0.0,0.0,0.1,0.1,0.0,1.24,3.51,0.35,5.11,1197.33,0.0,0.0,0.0,0.0,0.0,454.38,0.01,0.0,270.78,725.18,2.31,0.0,0.0,2.02,453.43,14.4,472.15,1197.33,356.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.41,178.97,0.0,0.0
15,GOCL Corp,chemicals,GOCLCORP,GOC01,http://www.moneycontrol.com/financials/goclcorporation/balance-sheetVI/GOC01#GOC01,9.91,9.91,365.93,365.93,375.85,0.0,0.0,49.01,86.66,135.67,5.37,20.6,17.66,1.23,44.86,556.38,26.68,0.04,12.56,293.74,333.02,35.74,2.84,30.12,78.93,480.64,0.0,18.09,17.47,15.6,0.0,24.58,75.74,556.38,1155.45,0.0,0.0,0.0,0.0,11.42,0.0,0.0,26.74,2.61,0.16,35.58,0.0,0.0
16,Guj Alkali,chemicals,GUJALKALI,GAC01,http://www.moneycontrol.com/financials/gujaratalkaliesandchemicals/balance-sheetVI/GAC01#GAC01,73.44,73.44,4524.07,4524.07,4597.5,137.1,525.22,0.69,104.21,767.22,2.13,321.34,194.25,10.28,528.01,5892.73,2521.14,88.7,445.16,0.0,3055.0,1243.52,0.0,1.19,220.98,4520.69,0.62,236.27,374.24,44.03,611.94,104.95,1372.05,5892.73,1519.86,193.64,0.0,0.0,159.6,34.1,0.0,334.79,0.0,3.28,635.35,248.79,0.0,0.0
17,Gujarat Fluoro,chemicals,GUJARATFLUORO,GUJAR54281,http://www.moneycontrol.com/financials/gujaratfluorochemicalslimited/balance-sheetVI/GUJAR54281#GUJAR54281,10.99,10.99,3681.44,3681.44,3692.42,464.39,0.0,10.75,25.23,500.37,1026.97,339.74,383.46,13.66,1763.83,5956.62,2275.99,18.91,318.37,10.11,2623.38,278.62,233.08,7.34,955.59,4098.0,67.39,658.63,639.65,9.83,40.73,442.4,1858.63,5956.62,670.8,0.0,0.0,0.0,0.0,827.17,0.0,0.0,1265.77,0.0,0.0,67.61,67.2,0.19
18,Guj Heavy Chem,chemicals,GUJHEAVYCHEM,GHC,http://www.moneycontrol.com/financials/gujaratheavychemicals/balance-sheetVI/GHC#GHC,95.01,95.01,2090.55,2090.55,2185.56,807.89,253.08,13.92,6.27,1081.16,268.88,405.79,246.74,12.83,934.24,4200.96,2649.13,5.46,119.96,0.0,2776.31,34.23,0.0,15.51,67.19,2893.24,0.0,724.27,357.58,113.52,3.86,108.49,1307.72,4200.96,434.39,0.0,0.0,0.0,0.0,775.33,0.0,0.0,528.85,0.0,7.87,26.36,0.0,0.0
19,Gulshan Poly,chemicals,GULSHANPOLY,GP9,http://www.moneycontrol.com/financials/gulshanpolyols/balance-sheetVI/GP9#GP9,4.69,14.44,300.6,300.6,315.04,11.75,0.24,0.0,0.0,11.99,59.61,28.88,39.66,1.81,129.96,456.98,259.79,0.12,3.22,0.0,263.12,0.42,0.0,0.0,6.92,270.46,0.0,86.5,82.37,3.16,0.0,14.5,186.52,456.98,9.63,21.93,0.0,0.0,4.35,3.01,0.0,92.98,0.0,0.0,0.0,0.42,0.0,0.0
20,Himadri Special,chemicals,HIMADRISPECIAL,HCI01,http://www.moneycontrol.com/financials/himadrispecialitychemical/balance-sheetVI/HCI01#HCI01,41.88,41.88,1609.63,1609.63,1651.51,22.44,51.96,2.03,4.52,80.95,314.51,211.77,197.3,0.77,724.35,2456.81,1386.87,1.84,158.38,0.0,1547.09,46.66,0.0,20.48,25.43,1639.66,0.0,331.49,299.58,41.97,2.63,141.49,817.15,2456.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,42.83,0.0,0.0
21,Hindcon Chemica,chemicals,HINDCONCHEMICA,HCL01,http://www.moneycontrol.com/financials/hindconchemicalsltd./balance-sheetVI/HCL01#HCL01,10.24,10.24,20.6,20.6,30.84,0.0,0.0,0.0,0.0,0.0,0.3,4.48,0.8,1.04,6.62,37.46,1.13,0.0,0.0,0.0,1.13,3.78,0.14,0.1,0.0,5.15,0.0,2.11,19.83,2.93,7.18,0.26,32.31,37.46,0.0,0.0,0.0,0.0,0.0,10.14,0.0,0.0,0.04,0.0,0.95,0.39,0.0,0.0
22,IG Petro,chemicals,IGPETRO,IGP,http://www.moneycontrol.com/financials/igpetrochemicals/balance-sheetVI/IGP#IGP,30.8,30.8,603.31,603.31,634.11,147.4,62.91,20.44,3.53,234.27,6.2,199.57,53.22,2.16,261.15,1129.53,468.76,2.56,267.23,0.0,738.56,43.59,0.0,10.44,24.53,817.12,11.56,95.08,143.34,35.8,0.72,25.91,312.41,1129.53,105.82,0.0,0.0,0.0,0.0,30.08,0.0,0.0,154.98,0.0,0.0,43.59,0.0,11.56
23,India Glycols,chemicals,INDIAGLYCOLS,IG,http://www.moneycontrol.com/financials/indiaglycols/balance-sheetVI/IG#IG,30.96,30.96,1126.81,1126.81,1157.77,407.22,242.32,335.18,6.17,990.89,413.0,718.39,739.47,7.63,1878.5,4027.17,2123.91,2.04,163.0,8.02,2296.97,28.59,0.0,0.73,63.29,2389.58,0.0,678.93,574.25,83.88,90.46,210.07,1637.58,4027.17,143.42,647.33,610.87,610.87,2.42,1660.06,0.0,0.0,732.83,0.0,0.0,28.59,0.0,0.0
24,Jayant Agro-Org,chemicals,JAYANTAGROORG,JAO,http://www.moneycontrol.com/financials/jayantagro-organics/balance-sheetVI/JAO#JAO,15.0,15.0,259.13,259.13,274.13,8.26,10.45,0.0,3.48,22.19,73.66,19.79,25.06,2.14,120.64,416.96,164.66,0.72,18.07,0.0,183.44,15.41,0.0,0.07,13.62,212.54,0.0,90.6,90.25,6.0,0.04,17.53,204.42,416.96,398.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,15.41,0.0,0.0
25,Jocil,chemicals,JOCIL,J01,http://www.moneycontrol.com/financials/jocil/balance-sheetVI/J01#J01,8.88,8.88,171.64,171.64,180.52,0.0,6.45,0.09,0.96,7.5,8.31,32.34,10.81,0.51,51.97,240.0,52.96,0.0,0.0,0.0,52.96,1.7,0.0,0.0,2.07,56.73,0.12,72.71,80.9,24.22,0.0,5.31,183.27,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Kanoria Chem,chemicals,KANORIACHEM,KCI01,http://www.moneycontrol.com/financials/kanoriachemicalsandindustries/balance-sheetVI/KCI01#KCI01,21.85,21.85,594.89,594.89,616.74,68.08,44.67,0.0,7.88,120.63,67.61,67.14,20.57,3.34,158.66,896.03,421.34,0.27,11.04,0.0,432.65,147.19,0.0,134.79,2.18,716.8,2.1,54.39,61.82,17.99,0.24,42.7,179.23,896.03,18.67,0.0,0.0,0.0,0.0,78.62,0.0,0.0,15.44,9.77,0.0,147.19,0.0,143.67
27,Linde India,chemicals,LINDEINDIA,BOC,http://www.moneycontrol.com/financials/lindeindia/balance-sheetVI/BOC#BOC,85.28,85.28,2051.56,2051.56,2136.84,0.0,196.14,31.1,66.27,293.51,8.47,374.48,355.45,46.07,784.47,3214.82,2034.8,0.34,52.94,0.0,2088.08,0.03,0.0,0.0,205.2,2293.31,0.0,65.41,382.81,240.86,0.0,232.44,921.51,3214.82,166.14,0.0,0.0,0.0,0.0,178.96,0.0,33.28,0.0,11.88,0.03,0.0,0.0,0.0
28,Navin Fluorine,chemicals,NAVINFLUORINE,NFI,http://www.moneycontrol.com/financials/navinfluorineinternational/balance-sheetVI/NFI#NFI,9.9,9.9,1376.35,1376.35,1388.94,0.0,0.0,20.63,10.28,30.91,0.0,92.24,59.05,2.83,154.11,1573.97,369.5,0.95,38.85,42.37,451.67,228.78,19.41,15.07,125.16,840.1,67.54,136.07,209.33,264.07,6.67,50.18,733.87,1573.97,59.05,0.0,0.0,0.0,0.0,321.28,0.0,422.52,30.52,0.0,0.0,86.09,0.72,66.82
29,Neogen,chemicals,NEOGEN,NC11,http://www.moneycontrol.com/financials/neogenchemicals/balance-sheetVI/NC11#NC11,23.33,23.33,133.4,133.4,156.73,30.36,5.62,9.19,3.58,48.74,101.94,35.85,10.63,1.45,149.87,355.34,110.23,0.32,2.69,0.0,113.23,0.45,0.0,0.0,9.95,123.64,0.0,129.87,75.23,1.48,0.64,24.48,231.7,355.34,11.2,0.0,1.45,1.45,0.0,90.52,0.0,0.0,46.52,15.5,0.0,0.45,0.0,0.0
30,ORIENTAL AROMAT,chemicals,ORIENTALAROMAT,CAP,http://www.moneycontrol.com/financials/orientalaromaticsltd./balance-sheetVI/CAP#CAP,16.83,16.83,446.98,446.98,463.8,1.53,26.05,0.84,1.77,30.19,43.11,56.52,13.59,1.67,114.89,608.89,188.81,47.38,1.74,0.0,237.93,6.0,0.0,0.0,7.55,251.48,0.0,162.34,152.35,14.87,0.0,27.84,357.4,608.89,9.73,0.0,0.0,0.0,0.0,280.41,0.0,0.0,218.14,8.41,0.0,0.0,0.0,0.0
31,Oriental Carbon,chemicals,ORIENTALCARBON,OCC,http://www.moneycontrol.com/financials/orientalcarbonandchemicals/balance-sheetVI/OCC#OCC,10.01,10.01,457.97,457.97,467.98,96.08,20.73,6.0,2.49,125.3,38.35,14.4,31.43,1.62,85.8,679.08,337.91,0.41,25.29,0.0,363.65,29.59,0.0,0.49,26.75,420.47,2.35,34.18,66.67,140.61,0.57,14.23,258.61,679.08,105.83,0.0,0.0,0.0,0.0,8.61,0.0,0.0,181.11,0.78,16.27,15.05,2.35,0.0
32,Panama Petro,chemicals,PANAMAPETRO,PP02,http://www.moneycontrol.com/financials/panamapetrochem/balance-sheetVI/PP02#PP02,12.1,12.1,370.39,370.39,382.48,0.0,7.47,0.49,0.88,8.84,0.72,220.29,7.74,0.18,228.94,620.26,103.67,0.0,17.24,10.09,131.0,51.93,0.0,0.0,2.24,185.16,0.0,192.48,190.93,33.61,0.46,17.62,435.1,620.26,120.5,388.73,4.26,4.26,0.0,6.51,0.0,283.17,0.0,4.03,0.0,51.87,0.0,0.0
33,Par Drugs,chemicals,PARDRUGS,PDC02,http://www.moneycontrol.com/financials/pardrugschemicals/balance-sheetVI/PDC02#PDC02,6.15,6.15,34.46,34.46,40.61,4.62,3.65,0.0,0.39,8.66,0.0,6.2,2.69,1.95,10.84,60.12,35.14,0.0,0.0,0.0,35.14,0.06,0.0,0.71,0.0,35.9,0.0,2.92,12.37,7.38,0.62,0.93,24.22,60.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phillips Carbon,chemicals,PHILLIPSCARBON,PCB01,http://www.moneycontrol.com/financials/phillipscarbonblack/balance-sheetVI/PCB01#PCB01,34.47,34.47,1657.21,1657.21,1691.68,215.01,254.87,104.31,1.99,576.18,329.67,418.54,192.22,83.91,1024.33,3292.19,1634.43,1.01,305.58,4.48,1945.51,176.73,0.0,20.33,52.17,2194.73,0.0,326.19,588.24,110.65,0.63,71.75,1097.46,3292.19,87.42,0.0,0.0,0.0,0.0,2490.01,0.0,1534.48,0.0,3.69,80.58,96.15,0.0,0.0
35,Pidilite Ind,chemicals,PIDILITEIND,PI11,http://www.moneycontrol.com/financials/pidiliteindustries/balance-sheetVI/PI11#PI11,50.81,50.81,4403.12,4403.12,4464.82,0.0,75.97,58.56,40.89,175.42,0.0,494.81,672.23,11.78,1178.82,5819.06,970.39,279.1,247.64,0.0,1497.13,1108.34,0.0,4.04,183.49,2793.0,715.18,730.49,806.63,568.84,25.38,179.54,3026.06,5819.06,605.74,0.0,0.0,0.0,0.0,911.0,0.0,0.0,601.0,47.48,71.9,1066.41,44.83,670.35
36,Premier Explo,chemicals,PREMIEREXPLO,PE02,http://www.moneycontrol.com/financials/premierexplosives/balance-sheetVI/PE02#PE02,10.75,10.75,185.72,185.72,196.47,3.92,9.24,0.14,3.91,17.21,53.85,18.84,18.51,1.41,92.6,306.28,106.15,4.5,61.7,0.08,172.43,5.31,0.0,0.0,10.9,188.64,0.0,42.02,46.99,15.36,0.0,13.27,117.64,306.28,65.7,0.0,0.0,0.0,0.0,28.82,0.0,0.0,8.09,1.02,0.0,5.31,0.0,0.0
37,Privi Special,chemicals,PRIVISPECIAL,HKF,http://www.moneycontrol.com/financials/privispecialitychemicals/balance-sheetVI/HKF#HKF,39.06,39.06,89.52,89.52,128.58,16.33,11.63,0.0,1.14,29.1,44.37,6.41,11.91,0.34,63.03,220.72,126.27,0.07,9.43,0.0,135.77,0.02,0.0,0.01,7.61,143.41,0.0,37.71,37.88,0.2,0.01,1.51,77.31,220.72,15.6,0.0,0.0,0.0,0.0,13.54,0.0,0.0,9.8,3.07,0.0,0.02,0.0,0.0
38,Punjab Chemical,chemicals,PUNJABCHEMICAL,PCC03,http://www.moneycontrol.com/financials/punjabchemicalscropprotection/balance-sheetVI/PCC03#PCC03,12.26,12.26,102.24,102.24,114.5,40.05,0.0,5.59,23.24,68.88,48.05,88.77,84.45,8.79,230.06,413.44,165.32,2.3,14.28,0.0,182.58,1.18,1.53,2.8,10.03,198.12,0.0,86.48,47.66,4.24,21.86,55.08,215.32,413.44,12.15,0.0,0.0,0.0,0.0,43.59,0.0,341.04,0.0,2.16,0.0,27.13,0.0,0.0
39,Refex Ind,chemicals,REFEXIND,RR05,http://www.moneycontrol.com/financials/refexindustries/balance-sheetVI/RR05#RR05,15.48,15.48,27.3,27.3,42.77,0.18,0.0,0.0,0.16,0.34,101.18,0.46,13.81,0.0,115.44,158.55,15.14,0.0,0.0,0.0,15.14,0.05,9.05,0.0,3.12,27.37,0.0,7.59,87.5,3.87,7.99,24.24,131.18,158.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,S H Kelkar,chemicals,SHKELKAR,KC17,http://www.moneycontrol.com/financials/shkelkarcompany/balance-sheetVI/KC17#KC17,141.32,141.32,408.82,408.82,550.14,17.32,10.08,24.09,0.0,51.49,52.5,241.91,48.46,7.74,350.61,952.24,136.43,75.1,1.42,13.37,238.11,302.63,0.0,1.16,27.23,569.13,0.0,176.78,145.34,35.86,8.09,17.04,383.11,952.24,371.48,0.0,0.0,0.0,0.0,106.76,0.0,0.0,21.7,119.04,0.0,302.63,0.0,0.0
41,Sanginita Chemi,chemicals,SANGINITACHEMI,SC56,http://www.moneycontrol.com/financials/sanginitachemicals/balance-sheetVI/SC56#SC56,17.27,17.27,21.34,21.34,38.61,0.26,0.04,0.0,0.0,0.3,34.52,3.02,0.78,1.15,39.47,78.38,4.44,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.21,4.65,0.0,20.38,39.17,0.03,0.0,14.15,73.72,78.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Seya Industries,chemicals,SEYAINDUSTRIES,SOC01,http://www.moneycontrol.com/financials/seyaindustries/balance-sheetVI/SOC01#SOC01,26.57,26.57,945.09,945.09,971.66,691.55,14.45,12.13,0.3,718.42,77.12,5.57,5.08,9.75,97.52,1787.6,1531.25,0.0,0.0,0.0,1531.25,0.0,0.0,0.68,38.67,1570.59,0.0,25.88,125.41,2.41,0.0,63.31,217.01,1787.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Shree Pushkar,chemicals,SHREEPUSHKAR,SPC03,http://www.moneycontrol.com/financials/shreepushkarchemicalsandfertilisers/balance-sheetVI/SPC03#SPC03,30.84,30.84,262.97,262.97,300.25,0.28,17.77,0.68,0.62,19.35,26.95,43.07,4.14,0.12,74.28,387.43,131.65,0.0,49.39,0.0,181.05,80.43,0.0,0.0,7.4,268.88,0.0,44.93,62.47,0.95,0.39,9.81,118.55,387.43,54.48,47.29,0.0,0.0,0.0,0.17,0.0,72.7,0.0,0.0,0.0,80.43,0.0,0.0
